,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Ten Minutes by Tractor Wallis Pinot Noir 2015 Mornington Peninsula,0.0,0.0,58.0,fine wine,australian,new world,pinot noir,,
Tenacity Old Vine Shiraz 2016,34.0,30.0,14.99,red wine,australian,new world,,,0.8823529411764706
Testimonio 2013/2014 Luigi Bosca,22.0,22.0,12.99,red wine,argentinian,new world,,,1.0
The Astronomer Shiraz 2016 De Bortoli,90.0,80.0,6.99,red wine,australian,new world,,,0.8888888888888888
The Chocolate Block 2014 Boekenhoutskloof,0.0,0.0,49.99,red wine,south-african,new world,,,
"The Chocolate Block 2015 Boekenhoutskloof, Western Cape",41.0,37.0,25.0,fine wine,south-african,new world,,,0.9024390243902439
The Cup And Rings Albariño Sobre Lias 2013/2014 Valedorras,16.0,14.0,12.99,white wine,spanish,old world,,,0.875
The Cup And Rings Godello Sobre Lias 2015 Monterrai,10.0,7.0,12.99,white wine,spanish,old world,,,0.7
The Guv'nor! 2016,186.0,166.0,8.99,red wine,spanish,old world,,,0.8924731182795699
The King's Favour Sauvignon Blanc 2016 Marlborough,48.0,41.0,13.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.8541666666666666
The King's Legacy Chardonnay 2016 Marlborough,18.0,14.0,13.99,white wine,new-zealand,new world,,marlborough wine,0.7777777777777778
The Lay and Wheeler Case x6,0.0,0.0,161.99,fine wine,,,,chablis,
The Ned Noble Sauvignon Blanc 2015 Half Bottle,31.0,29.0,14.99,white wine,new-zealand,new world,,marlborough wine,0.9354838709677419
The Ned Pinot Grigio 2016/2017 Marlborough,178.0,166.0,10.99,white wine,new-zealand,new world,,marlborough wine,0.9325842696629213
"The Ned Pinot Noir 2016 Southern Valleys, Marlborough",58.0,53.0,13.99,red wine,new-zealand,new world,,marlborough wine,0.9137931034482759
"The Ned Rosé 2017 Waihopai River, Marlborough",100.0,93.0,11.99,rose wine,,,,,0.93
The Ned Waihopai River Sauvignon Blanc 2016/2017 Marlborough,1266.0,1198.0,10.99,white wine,new-zealand,new world,,marlborough wine,0.9462875197472354
Tomás Postigo 2014 Ribera del Duero,6.0,4.0,33.0,fine wine,spanish,old world,tempranillo,,0.6666666666666666
"Torresilo 2015 Cillar de Silos, Ribera del Duero",6.0,6.0,33.0,fine wine,spanish,old world,tempranillo,,1.0
Touraine Sauvignon 2016 Domaine Joel Delaunay,6.0,6.0,11.99,white wine,french,old world,sauvignon blanc,,1.0
Tourrela Bordeaux 2014,37.0,23.0,9.99,red wine,,,,,0.6216216216216216
Trebuchet Red 2016 Western Cape,30.0,24.0,8.99,red wine,south-african,new world,,,0.8
Valle Antigua Chardonnay 2017,13.0,10.0,7.99,white wine,chilean,new world,chardonnay,,0.7692307692307693
Valle Antigua Sauvignon Blanc 2017,11.0,9.0,7.99,white wine,chilean,new world,,,0.8181818181818182
Vallée Des Pins Rosé 2016 Côteaux d'Aix en Provence,37.0,34.0,8.99,rose wine,french,old world,,,0.918918918918919
Valpolicella Classico 2015/2016 Cantina di Negrar,62.0,54.0,9.99,red wine,italian,old world,,,0.8709677419354839
Valpolicella Ripasso 2015 Villa Borghetti,96.0,88.0,13.99,red wine,italian,old world,,,0.9166666666666666
Valpolicella Superiore Ripasso 2014 La Casetta,141.0,136.0,16.99,red wine,italian,old world,,,0.9645390070921985
Vasse Felix Cabernet Sauvignon 2014,8.0,6.0,15.99,red wine,australian,new world,,,0.75
Verdicchio dei Castelli di Jesi 2016 Monte Schiavo,29.0,24.0,8.99,white wine,italian,old world,,,0.8275862068965517
Vereto Salice Salentino 2013 Agricole Vallone,20.0,17.0,11.99,red wine,,,,,0.85
Villa Maria Cellar Selection Pinot Noir 2016 Marlborough,42.0,38.0,15.99,red wine,new-zealand,new world,,marlborough wine,0.9047619047619048
Villa Maria Cellar Selection Sauvignon Blanc 2016 Marlborough,84.0,81.0,12.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9642857142857143
Villa Maria Private Bin Gewürztraminer 2016 East Coast,44.0,35.0,10.99,white wine,new-zealand,new world,,,0.7954545454545454
Villa Maria Private Bin Riesling 2016 Marlborough,59.0,53.0,10.49,white wine,new-zealand,new world,riesling,marlborough wine,0.8983050847457628
Villa Maria Private Bin Sauvignon Blanc 2017/2016 Marlborough,576.0,562.0,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9756944444444444
Villa Maria Reserve Sauvignon Blanc 2016 Marlborough,87.0,85.0,13.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9770114942528736
Villemarin Picpoul de Pinet 2016 Côteaux du Languedoc,230.0,214.0,9.99,white wine,french,old world,,south of france,0.9304347826086956
"Vin de Constance 2013 Klein Constantia, Constantia",12.0,12.0,56.0,fine wine,south-african,new world,,,1.0
Vinalba Malbec Bonarda 2016,29.0,24.0,9.99,red wine,argentinian,new world,malbec,,0.8275862068965517
Vinhas Do Silvado Tinto,9.0,7.0,7.99,red wine,portuguese,old world,,,0.7777777777777778
Vinhos do Silvado Branco 2016,8.0,6.0,7.99,white wine,portuguese,old world,,,0.75
Vire Clesse Pierre Ponnelle,3.0,2.0,15.99,white wine,french,old world,,burgundy,0.6666666666666666
Viré-Clessé Vieilles Vignes 2016 Christophe Cordier,12.0,12.0,16.99,white wine,french,old world,chardonnay,,1.0
Viñalba Fifty 50 2015 Uco Valley,78.0,74.0,12.99,red wine,argentinian,new world,malbec,,0.9487179487179487
Viñalba Gran Reservado Malbec 2014 Mendoza,33.0,30.0,16.99,red wine,argentinian,new world,malbec,,0.9090909090909091
Viñalba Malbec-Touriga Nacional Reserve 2015 Mendoza,58.0,52.0,12.99,red wine,argentinian,new world,malbec,,0.896551724137931
Viñalba Reserve Malbec 2015 Mendoza,273.0,242.0,12.99,red wine,argentinian,new world,,,0.8864468864468864
Viñalba Selección Torrontés 2016 Lujan de Cuyo,19.0,15.0,9.99,white wine,argentinian,new world,,,0.7894736842105263
Vouvray Grande Année 1989 Marc Brédif,0.0,0.0,55.0,fine wine,french,old world,,,
Vox Populi Bobal 2014 Utiel-Requena,57.0,50.0,10.99,red wine,spanish,old world,,,0.8771929824561403
Waimea Estate Gewürztraminer 2016 Nelson,89.0,77.0,14.99,white wine,new-zealand,new world,,,0.8651685393258427
Waimea Estate Grüner Veltliner 2016 Nelson,14.0,12.0,13.99,white wine,new-zealand,new world,,,0.8571428571428571
Waimea Estate Sauvignon Blanc 2016 Nelson,109.0,98.0,12.99,white wine,new-zealand,new world,sauvignon blanc,,0.8990825688073395
Wakefield Estate Chardonnay 2016 Clare Valley,18.0,16.0,11.99,white wine,australian,new world,,,0.8888888888888888
Wakefield Estate Shiraz 2016 Clare Valley,144.0,137.0,11.99,red wine,australian,new world,,,0.9513888888888888
Wakefield Jaraman Coonawarra Shiraz,3.0,3.0,16.99,red wine,,,,,1.0
Whiz Bang Barossa Shiraz ,7.0,6.0,13.99,red wine,,,,,0.8571428571428571
Winemaker Series Chardonnay,10.0,9.0,10.99,white wine,,,,,0.9
Winemaker Series Shiraz 2016,16.0,15.0,11.99,red wine,australian,new world,,,0.9375
Winemaker Series Swartland red 2016,18.0,16.0,12.99,red wine,south-african,new world,,,0.8888888888888888
X de Larrivaux 2011,2.0,0.0,13.99,red wine,french,old world,merlot,,0.0
Xanadu Exmoor Chardonnay,4.0,2.0,12.99,white wine,,,chardonnay,,0.5
Yalumba Y-Series Cabernet Sauvignon 2014 South Australia,30.0,24.0,10.99,red wine,,,,,0.8
Z de Thienpont 2012,0.0,0.0,9.99,red wine,,,,,
Zingo Malbec Rosé 2017,1.0,1.0,9.99,rose wine,,,,,1.0
